"Date","State","Race","Cases","Deaths","DateAsDate"
20200412,"AK","AIAN",13,2,2020-04-12
20200419,"AK","AIAN",14,2,2020-04-19
20200426,"AK","AIAN",18,2,2020-04-26
20200503,"AK","AIAN",22,2,2020-05-03
20200510,"AK","AIAN",24,2,2020-05-10
20200517,"AK","AIAN",29,2,2020-05-17
20200524,"AK","AIAN",33,2,2020-05-24
20200531,"AK","AIAN",41,2,2020-05-31
20200607,"AK","AIAN",59,2,2020-06-07
20200614,"AK","AIAN",71,2,2020-06-14
20200621,"AK","AIAN",83,2,2020-06-21
20200628,"AK","AIAN",101,2,2020-06-28
20200705,"AK","AIAN",131,3,2020-07-05
20200712,"AK","AIAN",177,3,2020-07-12
20200719,"AK","AIAN",247,4,2020-07-19
20200726,"AK","AIAN",318,5,2020-07-26
20200802,"AK","AIAN",414,8,2020-08-02
20200809,"AK","AIAN",488,9,2020-08-09
20200816,"AK","AIAN",597,10,2020-08-16
20200823,"AK","AIAN",696,10,2020-08-23
20200830,"AK","AIAN",816,13,2020-08-30
20200906,"AK","AIAN",947,14,2020-09-06
20200913,"AK","AIAN",1076,16,2020-09-13
20200920,"AK","AIAN",1214,16,2020-09-20
20200927,"AK","AIAN",1475,19,2020-09-27
20201004,"AK","AIAN",1882,21,2020-10-04
20201011,"AK","AIAN",2218,21,2020-10-11
20201018,"AK","AIAN",2519,24,2020-10-18
20201025,"AK","AIAN",3071,24,2020-10-25
20201101,"AK","AIAN",3555,27,2020-11-01
20201108,"AK","AIAN",4293,27,2020-11-08
20201115,"AK","AIAN",5029,31,2020-11-15
20201122,"AK","AIAN",5929,31,2020-11-22
20201129,"AK","AIAN",6733,44,2020-11-29
20201206,"AK","AIAN",7323,54,2020-12-06
20201213,"AK","AIAN",8025,65,2020-12-13
20201220,"AK","AIAN",8645,67,2020-12-20
20201227,"AK","AIAN",8969,74,2020-12-27
20210103,"AK","AIAN",9623,76,2021-01-03
20210110,"AK","AIAN",10238,83,2021-01-10
20210117,"AK","AIAN",10754,90,2021-01-17
20210124,"AK","AIAN",11160,97,2021-01-24
20210131,"AK","AIAN",11460,99,2021-01-31
20210207,"AK","AIAN",11627,103,2021-02-07
20210214,"AK","AIAN",11837,103,2021-02-14
20210221,"AK","AIAN",11990,104,2021-02-21
20210228,"AK","AIAN",12117,104,2021-02-28
20210307,"AK","AIAN",12238,111,2021-03-07
20200412,"AK","Asian",25,2,2020-04-12
20200419,"AK","Asian",33,2,2020-04-19
20200426,"AK","Asian",41,2,2020-04-26
20200503,"AK","Asian",44,2,2020-05-03
20200510,"AK","Asian",45,2,2020-05-10
20200517,"AK","Asian",45,2,2020-05-17
20200524,"AK","Asian",46,2,2020-05-24
20200531,"AK","Asian",46,2,2020-05-31
20200607,"AK","Asian",52,2,2020-06-07
20200614,"AK","Asian",58,2,2020-06-14
20200621,"AK","Asian",58,2,2020-06-21
20200628,"AK","Asian",60,2,2020-06-28
20200705,"AK","Asian",60,2,2020-07-05
20200712,"AK","Asian",63,2,2020-07-12
20200719,"AK","Asian",67,2,2020-07-19
20200726,"AK","Asian",79,2,2020-07-26
20200802,"AK","Asian",94,2,2020-08-02
20200809,"AK","Asian",103,2,2020-08-09
20200816,"AK","Asian",113,2,2020-08-16
20200823,"AK","Asian",135,2,2020-08-23
20200830,"AK","Asian",145,3,2020-08-30
20200906,"AK","Asian",155,3,2020-09-06
20200913,"AK","Asian",166,3,2020-09-13
20200920,"AK","Asian",177,3,2020-09-20
20200927,"AK","Asian",249,4,2020-09-27
20201004,"AK","Asian",411,4,2020-10-04
20201011,"AK","Asian",467,5,2020-10-11
20201018,"AK","Asian",548,7,2020-10-18
20201025,"AK","Asian",627,7,2020-10-25
20201101,"AK","Asian",680,8,2020-11-01
20201108,"AK","Asian",741,8,2020-11-08
20201115,"AK","Asian",823,8,2020-11-15
20201122,"AK","Asian",1129,8,2020-11-22
20201129,"AK","Asian",1212,9,2020-11-29
20201206,"AK","Asian",1353,13,2020-12-06
20201213,"AK","Asian",1539,18,2020-12-13
20201220,"AK","Asian",1771,19,2020-12-20
20201227,"AK","Asian",1846,19,2020-12-27
20210103,"AK","Asian",1887,20,2021-01-03
20210110,"AK","Asian",2014,20,2021-01-10
20210117,"AK","Asian",2060,23,2021-01-17
20210124,"AK","Asian",2104,27,2021-01-24
20210131,"AK","Asian",2148,27,2021-01-31
20210207,"AK","Asian",2195,29,2021-02-07
20210214,"AK","Asian",2249,29,2021-02-14
20210221,"AK","Asian",2331,29,2021-02-21
20210228,"AK","Asian",2396,29,2021-02-28
20210307,"AK","Asian",2447,29,2021-03-07
20200412,"AK","Black",4,0,2020-04-12
20200419,"AK","Black",7,0,2020-04-19
20200426,"AK","Black",7,0,2020-04-26
20200503,"AK","Black",8,0,2020-05-03
20200510,"AK","Black",9,0,2020-05-10
20200517,"AK","Black",9,0,2020-05-17
20200524,"AK","Black",10,0,2020-05-24
20200531,"AK","Black",13,0,2020-05-31
20200607,"AK","Black",15,0,2020-06-07
20200614,"AK","Black",17,0,2020-06-14
20200621,"AK","Black",19,0,2020-06-21
20200628,"AK","Black",23,0,2020-06-28
20200705,"AK","Black",25,0,2020-07-05
20200712,"AK","Black",35,0,2020-07-12
