"Date","State","Race","Cases","Deaths","DateAsDate","PrevDate","PrevCases","PrevDeaths","NewCases","NewDeaths"
20200419,"AK","AIAN",14,2,2020-04-19,20200412,13,2,1,0
20200426,"AK","AIAN",18,2,2020-04-26,20200419,14,2,4,0
20200503,"AK","AIAN",22,2,2020-05-03,20200426,18,2,4,0
20200510,"AK","AIAN",24,2,2020-05-10,20200503,22,2,2,0
20200517,"AK","AIAN",29,2,2020-05-17,20200510,24,2,5,0
20200524,"AK","AIAN",33,2,2020-05-24,20200517,29,2,4,0
20200531,"AK","AIAN",41,2,2020-05-31,20200524,33,2,8,0
20200607,"AK","AIAN",59,2,2020-06-07,20200531,41,2,18,0
20200614,"AK","AIAN",71,2,2020-06-14,20200607,59,2,12,0
20200621,"AK","AIAN",83,2,2020-06-21,20200614,71,2,12,0
20200628,"AK","AIAN",101,2,2020-06-28,20200621,83,2,18,0
20200705,"AK","AIAN",131,3,2020-07-05,20200628,101,2,30,1
20200712,"AK","AIAN",177,3,2020-07-12,20200705,131,3,46,0
20200719,"AK","AIAN",247,4,2020-07-19,20200712,177,3,70,1
20200726,"AK","AIAN",318,5,2020-07-26,20200719,247,4,71,1
20200802,"AK","AIAN",414,8,2020-08-02,20200726,318,5,96,3
20200809,"AK","AIAN",488,9,2020-08-09,20200802,414,8,74,1
20200816,"AK","AIAN",597,10,2020-08-16,20200809,488,9,109,1
20200823,"AK","AIAN",696,10,2020-08-23,20200816,597,10,99,0
20200830,"AK","AIAN",816,13,2020-08-30,20200823,696,10,120,3
20200906,"AK","AIAN",947,14,2020-09-06,20200830,816,13,131,1
20200913,"AK","AIAN",1076,16,2020-09-13,20200906,947,14,129,2
20200920,"AK","AIAN",1214,16,2020-09-20,20200913,1076,16,138,0
20200927,"AK","AIAN",1475,19,2020-09-27,20200920,1214,16,261,3
20201004,"AK","AIAN",1882,21,2020-10-04,20200927,1475,19,407,2
20201011,"AK","AIAN",2218,21,2020-10-11,20201004,1882,21,336,0
20201018,"AK","AIAN",2519,24,2020-10-18,20201011,2218,21,301,3
20201025,"AK","AIAN",3071,24,2020-10-25,20201018,2519,24,552,0
20201101,"AK","AIAN",3555,27,2020-11-01,20201025,3071,24,484,3
20201108,"AK","AIAN",4293,27,2020-11-08,20201101,3555,27,738,0
