"State","Race","Date","Cases","Deaths","DateAsDate","PrevDate","PrevCases","PrevDeaths","NewCases","NewDeaths","NewCases_Lag_1","NewCases_Lag_2","NewCases_Lag_3","NewCases_Lag_4","NewCases_Lag_5","NewCases_Lag_6","NewCases_Lag_7","NewCases_Lag_8"
"AK","AIAN",20200419,14,2,2020-04-19,20200412,13,2,1,0,NA,NA,NA,NA,NA,NA,NA,NA
"AK","AIAN",20200426,18,2,2020-04-26,20200419,14,2,4,0,1,NA,NA,NA,NA,NA,NA,NA
"AK","AIAN",20200503,22,2,2020-05-03,20200426,18,2,4,0,4,1,NA,NA,NA,NA,NA,NA
"AK","AIAN",20200510,24,2,2020-05-10,20200503,22,2,2,0,4,4,1,NA,NA,NA,NA,NA
"AK","AIAN",20200517,29,2,2020-05-17,20200510,24,2,5,0,2,4,4,1,NA,NA,NA,NA
"AK","AIAN",20200524,33,2,2020-05-24,20200517,29,2,4,0,5,2,4,4,1,NA,NA,NA
"AK","AIAN",20200531,41,2,2020-05-31,20200524,33,2,8,0,4,5,2,4,4,1,NA,NA
"AK","AIAN",20200607,59,2,2020-06-07,20200531,41,2,18,0,8,4,5,2,4,4,1,NA
"AK","AIAN",20200614,71,2,2020-06-14,20200607,59,2,12,0,18,8,4,5,2,4,4,1
"AK","AIAN",20200621,83,2,2020-06-21,20200614,71,2,12,0,12,18,8,4,5,2,4,4
"AK","AIAN",20200628,101,2,2020-06-28,20200621,83,2,18,0,12,12,18,8,4,5,2,4
"AK","AIAN",20200705,131,3,2020-07-05,20200628,101,2,30,1,18,12,12,18,8,4,5,2
"AK","AIAN",20200712,177,3,2020-07-12,20200705,131,3,46,0,30,18,12,12,18,8,4,5
"AK","AIAN",20200719,247,4,2020-07-19,20200712,177,3,70,1,46,30,18,12,12,18,8,4
"AK","AIAN",20200726,318,5,2020-07-26,20200719,247,4,71,1,70,46,30,18,12,12,18,8
"AK","AIAN",20200802,414,8,2020-08-02,20200726,318,5,96,3,71,70,46,30,18,12,12,18
"AK","AIAN",20200809,488,9,2020-08-09,20200802,414,8,74,1,96,71,70,46,30,18,12,12
"AK","AIAN",20200816,597,10,2020-08-16,20200809,488,9,109,1,74,96,71,70,46,30,18,12
"AK","AIAN",20200823,696,10,2020-08-23,20200816,597,10,99,0,109,74,96,71,70,46,30,18
"AK","AIAN",20200830,816,13,2020-08-30,20200823,696,10,120,3,99,109,74,96,71,70,46,30
"AK","AIAN",20200906,947,14,2020-09-06,20200830,816,13,131,1,120,99,109,74,96,71,70,46
"AK","AIAN",20200913,1076,16,2020-09-13,20200906,947,14,129,2,131,120,99,109,74,96,71,70
"AK","AIAN",20200920,1214,16,2020-09-20,20200913,1076,16,138,0,129,131,120,99,109,74,96,71
"AK","AIAN",20200927,1475,19,2020-09-27,20200920,1214,16,261,3,138,129,131,120,99,109,74,96
"AK","AIAN",20201004,1882,21,2020-10-04,20200927,1475,19,407,2,261,138,129,131,120,99,109,74
"AK","AIAN",20201011,2218,21,2020-10-11,20201004,1882,21,336,0,407,261,138,129,131,120,99,109
"AK","AIAN",20201018,2519,24,2020-10-18,20201011,2218,21,301,3,336,407,261,138,129,131,120,99
"AK","AIAN",20201025,3071,24,2020-10-25,20201018,2519,24,552,0,301,336,407,261,138,129,131,120
"AK","AIAN",20201101,3555,27,2020-11-01,20201025,3071,24,484,3,552,301,336,407,261,138,129,131
"AK","AIAN",20201108,4293,27,2020-11-08,20201101,3555,27,738,0,484,552,301,336,407,261,138,129
"AK","AIAN",20201115,5029,31,2020-11-15,20201108,4293,27,736,4,738,484,552,301,336,407,261,138
"AK","AIAN",20201122,5929,31,2020-11-22,20201115,5029,31,900,0,736,738,484,552,301,336,407,261
"AK","AIAN",20201129,6733,44,2020-11-29,20201122,5929,31,804,13,900,736,738,484,552,301,336,407
"AK","AIAN",20201206,7323,54,2020-12-06,20201129,6733,44,590,10,804,900,736,738,484,552,301,336
"AK","AIAN",20201213,8025,65,2020-12-13,20201206,7323,54,702,11,590,804,900,736,738,484,552,301
"AK","AIAN",20201220,8645,67,2020-12-20,20201213,8025,65,620,2,702,590,804,900,736,738,484,552
"AK","AIAN",20201227,8969,73.6666666666667,2020-12-27,20201220,8645,67,324,6.66666666666667,620,702,590,804,900,736,738,484
"AK","AIAN",20210103,9623,76,2021-01-03,20201227,8969,73.6666666666667,654,2.33333333333333,324,620,702,590,804,900,736,738
"AK","AIAN",20210110,10238,83,2021-01-10,20210103,9623,76,615,7,654,324,620,702,590,804,900,736
"AK","AIAN",20210117,10754,90,2021-01-17,20210110,10238,83,516,7,615,654,324,620,702,590,804,900
"AK","AIAN",20210124,11160,97,2021-01-24,20210117,10754,90,406,7,516,615,654,324,620,702,590,804
"AK","AIAN",20210131,11460,99,2021-01-31,20210124,11160,97,300,2,406,516,615,654,324,620,702,590
"AK","AIAN",20210207,11627,103,2021-02-07,20210131,11460,99,167,4,300,406,516,615,654,324,620,702
"AK","AIAN",20210214,11837,103,2021-02-14,20210207,11627,103,210,0,167,300,406,516,615,654,324,620
"AK","AIAN",20210221,11990,104,2021-02-21,20210214,11837,103,153,1,210,167,300,406,516,615,654,324
"AK","AIAN",20210228,12117,104,2021-02-28,20210221,11990,104,127,0,153,210,167,300,406,516,615,654
"AK","AIAN",20210307,12238,111,2021-03-07,20210228,12117,104,121,7,127,153,210,167,300,406,516,615
"AK","Asian",20200419,33,2,2020-04-19,20200412,25,2,8,0,NA,NA,NA,NA,NA,NA,NA,NA
"AK","Asian",20200426,41,2,2020-04-26,20200419,33,2,8,0,8,NA,NA,NA,NA,NA,NA,NA
"AK","Asian",20200503,44,2,2020-05-03,20200426,41,2,3,0,8,8,NA,NA,NA,NA,NA,NA
"AK","Asian",20200510,45,2,2020-05-10,20200503,44,2,1,0,3,8,8,NA,NA,NA,NA,NA
"AK","Asian",20200517,45,2,2020-05-17,20200510,45,2,0,0,1,3,8,8,NA,NA,NA,NA
"AK","Asian",20200524,46,2,2020-05-24,20200517,45,2,1,0,0,1,3,8,8,NA,NA,NA
"AK","Asian",20200531,46,2,2020-05-31,20200524,46,2,0,0,1,0,1,3,8,8,NA,NA
"AK","Asian",20200607,52,2,2020-06-07,20200531,46,2,6,0,0,1,0,1,3,8,8,NA
"AK","Asian",20200614,58,2,2020-06-14,20200607,52,2,6,0,6,0,1,0,1,3,8,8
"AK","Asian",20200621,58.3333333333333,2,2020-06-21,20200614,58,2,0.333333333333336,0,6,6,0,1,0,1,3,8
"AK","Asian",20200628,60,2,2020-06-28,20200621,58.3333333333333,2,1.66666666666666,0,0.333333333333336,6,6,0,1,0,1,3
